"","Species","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"11","Kajikia audax",223,"Kajikia",43,"(Philippi, 1887)","Striped marlin","Teaud_u3.jpg",NA,NA,NA,419,NA,9072,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,200,43,NA,NA,NA,NA,NA,NA,NA,43.55,47.93,420,"TL",NA,NA,30874,290,"TL",NA,NA,9308,440000,NA,30874,"TEAUD_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 10,000 to 50,000","Mostly by Japan (in areas 61 and 77)","hooks and lines","drifting longlines (LLD)",1,1,0,0,0,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Epipelagic and oceanic species, usually found above the thermocline.  Generally inhabit cooler water than either black (<i>Makaira indica</i>) or blue marlin (<i>M. mazara</i>) (Ref. 43).  Most dominant and widely distributed of all billfishes.  Their abundance increases with distance from the continental shelf (Ref. 6390).  Usually seen close to shore only where deep drop-offs occur (Ref. 6390).  Mostly solitary, but form small schools by size during the spawning season (Ref. 9987).  They are usually dispersed at considerably wide distances.  Feed on fishes, crustaceans and squids.  Also caught with the harpoon.  The flesh is the best among billfishes for sashimi and sushi.  Marketed mostly frozen, sometimes fresh (Ref. 43); also smoked and frozen (Ref. 9987).  Also Ref. 9137, 9574.",NA,0.750500023365021,0,2,1990-10-17,303,2013-03-01,2,1999-08-19,NA
"12","Katsuwonus pelamis",107,"Katsuwonus",168,"(Linnaeus, 1758)","Skipjack tuna","Kapel_m0.jpg",NA,NA,NA,416,"Scombrinae",4643,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",NA,0,260,9340,0,NA,55287,12,168,NA,NA,38.12,41.28,110,"FL",NA,NA,89423,80,"FL",NA,NA,168,34500,NA,168,"KAPEL_U0",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species",NA,"more than 500,000","Mostly Japan (FAO fishing area 61); also 67.","seines","purse seines (PS)",1,1,0,1,0,1,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"reports of ciguatera poisoning",4690,"no special ability",NA,NA,1,"Found in offshore waters; larvae restricted to waters with surface temperatures of 15°C to 30°C (Ref. 6390).  Exhibit a strong tendency to school in surface waters with birds, drifting objects, sharks, whales and may show a characteristic behavior like jumping, feeding, foaming, etc.  Feed on fishes, crustaceans, cephalopods and mollusks; cannibalism is common.  Spawn throughout the year in the tropics, eggs released in several portions (Ref. 35388).  Eggs and larvae are pelagic (Ref. 6769).  Preyed upon by large pelagic fishes (Ref. 6885).  Also taken by trolling on light tackle using plugs, spoons, feathers, or strip bait (Ref. 9684).  Marketed fresh, frozen or canned (Ref. 9340, 9684 ); also dried-salted and smoked (Ref. 9987).",NA,1,0,2,1990-10-17,2,2024-01-15,2,1999-08-19,NA
"13","Makaira mazara",218,"Makaira",43,"(Jordan & Snyder, 1901)","Indo-Pacific blue marlin","Mamaz_u2.jpg",NA,NA,NA,419,NA,189,1,"elongated","R",NA,"This species is synonym of <i>Makaira nigricans</i> Lacepède, 1802 in Eschmeyer (CofF ver. Jan. 2012: Ref. 89336) following Collette <i>et al.</i> (2006) and Bray <i>et al.</i> (2006).  The species page will be removed.",4,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,200,43,100,NA,6390,28,30371,NA,NA,70.43,84.11,500,"TL",NA,NA,30874,350,"TL",NA,NA,9308,170000,906000,6390,"MAMAZ_U0",NA,NA,NA,4931,"commercial","high","Reliable: based on ex-vessel price for this species","Mainly with other marlins.","from 10,000 to 50,000","Mostly Japan (areas 77, 71 and 61)","hooks and lines","unspecified longlines (LL)",1,1,0,0,1,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,43,"harmless",NA,"no special ability",NA,NA,1,"Epipelagic and oceanic species mostly confined to the waters on the warmer side of the 24°C surface isotherm and known to effect seasonal north-south migrations.  Not usually seen close to land masses or islands, unless there is a deep drop-off of the shelf.  Remain mostly within the upper 37 m.  Believed to form small-scale schools of at most 10 individuals.  Larger fish tend to swim solitarily (Ref. 43) but smaller ones form schools of about 10 individuals (Ref. 9987).  Feed on squids, tuna-like fishes, crustaceans and cephalopods (Ref. 9308).  Also caught with troll lines (Ref. 9308).  The flesh is of good quality and is marketed frozen and prepared as sashimi and sausages in Japan (Ref. 9308); also utilized fresh (Ref. 9987).  Also Ref. 9692.",NA,0.750500023365021,0,2,1990-10-17,303,2012-03-06,2,1999-08-19,NA
"14","Makaira nigricans",216,"Makaira",43,"Lacepède, 1802","Blue marlin","Manig_f0.jpg",NA,"Manig_f0.jpg",NA,419,NA,189,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,1000,43,NA,NA,NA,NA,NA,NA,NA,51.7,50,500,"TL",500,"TL",11441,290,"TL",NA,NA,6659,636000,820000,40637,"MANIG_U0",NA,NA,NA,4931,"commercial","high","Reliable: based on ex-vessel price for this species","By-catch of tuna fishery.","from 1,000 to 10,000","Mostly by Sri lanka (51)","hooks and lines","unspecified longlines (LL)",0,1,0,0,0,0,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"An oceanic species.  Water color affects its occurrence, at least in the northern Gulf of Mexico, where the fish show preference for blue water.  Rarely gathers in schools and usually found as scattered single individuals.  Feeds mainly on fishes but also preys on octopods and squids.  Marketed fresh or frozen (Ref. 43).  Feeding takes place during daytime.  Maturity reached at about 80 cm in males and 50 cm in females (Ref. 36731).  Females grow larger (Ref. 4770). Recent study indicates maximum age close to 20 years using a series of deductions in the ¹⁴C dating method (Ref. 120707).",NA,0.750500023365021,0,2,1990-10-17,2,2024-01-17,10,1994-02-26,NA
"15","Sarda australis",112,"Sarda",168,"(Macleay, 1881)","Australian bonito","Saaus_u0.jpg",NA,NA,NA,416,"Scombrinae",939,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,180,"FL",NA,NA,40637,45,"FL",NA,NA,168,9400,NA,168,"SAAUS_U0",NA,NA,NA,171,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","Consumed as food.",NA,NA,"hooks and lines","trolling lines (LTL)",0,0,0,0,0,1,0,0,0,0,"never/rarely",NA,NA,"usually",171,"never/rarely",NA,NA,1,4537,"harmless",NA,"no special ability",NA,NA,1,"Schooling by size and maturing from January through April.  Flesh is light-colored of delicate flavor and good canning quality.",NA,0.531199991703033,0,2,1990-10-17,1,2008-09-12,18,1994-03-05,NA
"16","Sarda chiliensis",113,"Sarda",168,"(Cuvier, 1832)","Eastern Pacific bonito","Sachi_u2.jpg",NA,NA,NA,416,"Scombrinae",939,1,"fusiform / normal","R",NA,"Issue on validity of subspecies:  subspecies considered as valid in FB, elevated to species rank as <i>Sarda chiliensis</i> (Cuvier, 1832) in Eschmeyer (CofF ver. May 2011: Ref. 86870).",1,0,0,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,0,100,NA,NA,NA,NA,NA,NA,NA,NA,35.6,71.1,102,"TL",NA,NA,9015,NA,NA,NA,NA,NA,11300,NA,168,"SACHI_U0",NA,NA,NA,4931,"highly commercial","low","Reliable: based on ex-vessel price for this species",NA,"from 10,000 to 50,000","Mostly by Peru and Chile","seines","purse seines (PS)",0,1,0,0,0,0,0,0,1,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,9988,"harmless",NA,"no special ability",NA,NA,1,"A coastal species that reaches sexual maturity at two years of age (Ref. 9340).  Older individuals are encountered farther from the coast as compared to the juveniles (Ref. 9340).  Spawning is discontinuous and a female of 3 kg may produce millions of eggs per season (Ref. 9340).  Forms schools by size.  Feeds on a variety of small schooling fishes, squids and shrimps.  This species is important to the recreational hook and line fishery operating from private and party boats, piers and jetties, and from the shore.  Also caught with encircling nets (Ref. 9340).  Utilized fresh, canned and frozen; eaten broiled and baked (Ref. 9988).",NA,0.531199991703033,0,2,1990-10-17,303,2014-04-04,18,1994-03-22,NA
"17","Sarda orientalis",114,"Sarda",168,"(Temminck & Schlegel, 1844)","Striped bonito","Saori_u0.jpg",NA,NA,NA,416,"Scombrinae",939,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,1,167,58302,NA,NA,NA,NA,NA,NA,NA,35.08,58.73,102,"FL",NA,NA,9684,55,"TL",NA,NA,55763,10650,NA,168,"SAORI_U0",NA,NA,NA,171,"minor commercial","high","Reliable: based on ex-vessel price for this species",NA," ",NA,"seines","purse seines (PS)",1,1,0,1,0,0,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4537,"harmless",NA,"no special ability",NA,NA,1,"A coastal species (Ref. 9340) found schooling with small tunas.  Also found around some islands (Ref. 9684).  Feeds on clupeoids, other fishes, squids and decapod crustaceans.  Spawning varies with the monsoon season (Ref. 9684).  Also caught with troll lines, encircling nets (Ref. 9340) and drift nets (Ref. 9684).  Marketed mainly fresh; also dried-salted (Ref. 9684), canned and frozen (Ref. 9987).",NA,0.531199991703033,0,2,1990-10-17,2,2024-01-15,1016,2007-10-31 14:53:03,NA
"18","Sarda sarda",115,"Sarda",168,"(Bloch, 1793)","Atlantic bonito","Sasar_u3.jpg",NA,NA,NA,416,"Scombrinae",939,NA,"fusiform / normal","R",NA,NA,0,0,1,1,"pelagic-neritic","WaterAssumed",NA,"oceanodromous",51243,80,200,5377,NA,NA,NA,5,29114,NA,NA,32.68,47.98,91.4000015258789,"FL",NA,NA,168,50,"FL",NA,NA,168,11000,NA,40637,"SASAR_U1",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species","Utilized as food fish.","from 10,000 to 50,000","Mostly Turkey (37)","seines"," ",1,1,0,1,0,0,0,0,1,0,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"reports of ciguatera poisoning",30303,"no special ability",NA,NA,1,"Epipelagic, neritic and schooling species that may enter estuaries.  Known to be cannibalistic, adults prey on small schooling fishes, invertebrates like squid and shrimps and can swallow relatively large prey.  Eggs and larvae pelagic (Ref. 6769).  Utilized fresh, dried or salted, smoked, canned and frozen (Ref. 9987).  Able to adapt to different temperatures 12° to 27°C and salinities 14 to 39 (Ref. 36731).",NA,0.531199991703033,0,2,1990-10-17,2,2024-01-15,1,2002-07-25 19:39:43,NA
"19","Scomberesox saurus",1084,"Scomberesox",6531,"(Walbaum, 1792)","Atlantic saury","Scsau_u1.jpg",NA,NA,NA,208,NA,3541,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,30,6531,NA,NA,NA,NA,NA,NA,NA,24.28,28.59,50,"TL",NA,NA,7251,32,"TL",NA,NA,3397,NA,NA,NA,"SCSAU_U0",NA,NA,NA,4931,"minor commercial","low","Reliable: based on ex-vessel price for this species",NA,"up to 1,000 tons/year","Spain","seines",NA,0,1,0,0,0,1,0,0,1,1,"never/rarely",NA,NA,"occasionally",9987,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Oceanic, schooling and gregarious.  Occasionally shoals close to shore in large numbers (Ref. 9987).  Feeds on zooplankton and fish larvae (Ref. 9987); food also includes fish eggs and small fishes (Ref. 5951).  Preyed upon by fish, including tunas, marlin bluefish and cod (Ref. 9987); also pollock, dolphins and porpoises (Ref. 5951).  It is an under-exploited fish in many parts of its range and suitable for canning and other inexpensive uses (Ref. 9987).  Often leap of the water when chased by enemies (Ref. 35388).",NA,0.656199991703033,0,5,1990-10-17,65,2014-11-10,18,1994-08-30,NA
"20","Scombrolabrax heterolepis",4438,"Scombrolabrax",10817,"Roule, 1921","Longfin escolar","Schet_u4.gif",NA,NA,NA,484,NA,1156,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"benthopelagic","WaterAssumed",NA,"oceanodromous",51243,100,900,10817,NA,NA,NA,NA,NA,NA,NA,20,NA,30,"TL",NA,NA,6655,NA,NA,NA,NA,NA,NA,NA,NA,"SCHET_U0",NA,NA,NA,3502,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,1,"Oceanic and mesopelagic.  Found on the continental shelf and underwater sea rises (Ref. 10817).  Rather rare.",NA,1.5,0,3,1991-06-18,113,1997-02-25,2,1994-08-22,NA
